Strain;Plant;3;4;5;6;7;8;9;10;11;Batch
Strain1;Medicago;1;3;3,5;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;2;3;3,5;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;0;0;1;3;3,5;NA;NA;4;NA;A
Strain1;Medicago;1;3;3,5;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;0;2;2;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;0;0;0;0;2,5;NA;NA;4;NA;A
Strain1;Medicago;0;1;3,5;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;1;3;3,5;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;2;3;3;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;1;1;2;3;3,5;NA;NA;4;NA;A
Strain1;Medicago;0;1;3;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;2;2;3;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;0;2;3;3,5;4;NA;NA;4;NA;A
Strain1;Medicago;0;2;3;3;3,5;NA;NA;4;NA;A
Strain1;Medicago;0;1;2;3;3,5;NA;NA;4;NA;A
Strain1;Medicago;2;3;3;3,5;4;NA;NA;4;NA;A
Strain2;Medicago;0;0;1;2;2;NA;NA;4;NA;A
Strain2;Medicago;0;0;0;1;3;NA;NA;4;NA;A
Strain2;Medicago;0;0;0;2;2,5;NA;NA;4;NA;A
Strain2;Medicago;0;1;1;2;2;NA;NA;4;NA;A
Strain2;Medicago;0;1;2;2;3;NA;NA;4;NA;A
Strain2;Medicago;0;0;0;0;0;NA;NA;0;NA;A
Strain2;Medicago;0;0;0;2;2;NA;NA;3,5;NA;A
Strain2;Medicago;0;0;1;1;1;NA;NA;3;NA;A
Strain2;Medicago;0;0;0;2;2,5;NA;NA;4;NA;A
Strain2;Medicago;0;0;1;3;3,5;NA;NA;4;NA;A
Strain2;Medicago;0;0;0;0;0;NA;NA;4;NA;A
Strain2;Medicago;0;0;0;0;0;NA;NA;0;NA;A
Strain2;Medicago;0;0;0;2;3;NA;NA;4;NA;A
Strain2;Medicago;0;0;0;1;2;NA;NA;3,5;NA;A
Strain2;Medicago;0;0;0;0;0;NA;NA;0;NA;A
Strain2;Medicago;0;0;0;0;1;NA;NA;3,5;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;3;NA;A
Strain3;Medicago;1;1;1;1;2;NA;NA;3;NA;A
Strain3;Medicago;1;1;1;1;1;NA;NA;1;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
Strain4;Medicago;2;2;2;2;2;NA;NA;2;NA;A
