year,apogee,proca,pruned,plot,score_factor
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,1
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,3
2018,None,No,Yes,A.I,3
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,3
2018,None,No,Yes,A.I,3
2018,None,No,Yes,A.I,2
2018,None,No,Yes,A.I,1
2019,None,No,Yes,A.I,3
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,3
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,2
2019,None,No,Yes,A.I,3
2019,None,No,Yes,A.I,3
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,2
2019,None,No,Yes,A.I,3
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,4
2019,None,No,Yes,A.I,3
2018,None,No,No,B.I,3
2018,None,No,No,B.I,3
2018,None,No,No,B.I,2
2018,None,No,No,B.I,3
2018,None,No,No,B.I,3
2018,None,No,No,B.I,2
2018,None,No,No,B.I,2
2018,None,No,No,B.I,2
2018,None,No,No,B.I,3
2018,None,No,No,B.I,3
2018,None,No,No,B.I,3
2018,None,No,No,B.I,4
2018,None,No,No,B.I,4
2018,None,No,No,B.I,4
2018,None,No,No,B.I,1
2018,None,No,No,B.I,2
2018,None,No,No,B.I,3
2018,None,No,No,B.I,4
2018,None,No,No,B.I,3
2018,None,No,No,B.I,2
2018,None,No,No,B.I,2
2018,None,No,No,B.I,2
2018,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,2
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,2
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2019,None,No,No,B.I,4
2018,Bloom,Yes,Yes,C.I,4
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,4
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,4
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,1
2018,Bloom,Yes,Yes,C.I,1
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,4
2018,Bloom,Yes,Yes,C.I,1
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,2
2018,Bloom,Yes,Yes,C.I,1
2018,Bloom,Yes,Yes,C.I,2
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,2
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,3
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,2
2019,Bloom,Yes,Yes,C.I,3
2019,Bloom,Yes,Yes,C.I,3
2019,Bloom,Yes,Yes,C.I,3
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,2
2019,Bloom,Yes,Yes,C.I,3
2019,Bloom,Yes,Yes,C.I,2
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,2
2019,Bloom,Yes,Yes,C.I,3
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,4
2019,Bloom,Yes,Yes,C.I,4
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,1
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,1
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,3
2018,Bloom,Yes,No,D.I,1
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,3
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,3
2018,Bloom,Yes,No,D.I,3
2018,Bloom,Yes,No,D.I,1
2018,Bloom,Yes,No,D.I,2
2018,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,3
2019,Bloom,Yes,No,D.I,4
2019,Bloom,Yes,No,D.I,4
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,1
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,1
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,1
2019,Bloom,Yes,No,D.I,1
2019,Bloom,Yes,No,D.I,4
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,4
2019,Bloom,Yes,No,D.I,3
2019,Bloom,Yes,No,D.I,1
2019,Bloom,Yes,No,D.I,3
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,1
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,1
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,2
2019,Bloom,Yes,No,D.I,2
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,1
2018,Symptom,Yes,Yes,E.I,1
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,1
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,1
2018,Symptom,Yes,Yes,E.I,3
2018,Symptom,Yes,Yes,E.I,1
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,1
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,2
2018,Symptom,Yes,Yes,E.I,2
2019,Symptom,Yes,Yes,E.I,4
2019,Symptom,Yes,Yes,E.I,3
2019,Symptom,Yes,Yes,E.I,3
2019,Symptom,Yes,Yes,E.I,4
2019,Symptom,Yes,Yes,E.I,0
2019,Symptom,Yes,Yes,E.I,4
2019,Symptom,Yes,Yes,E.I,3
2019,Symptom,Yes,Yes,E.I,3
2019,Symptom,Yes,Yes,E.I,4
